courier_warehouse,active_stuck_shipments,avg_hours_stuck,median_dwell_hours,p90_dwell_hours,priority_category
FARIDABAD HUB FARIDABAD,0,0.0,6.18,16.56,Ignore
"PAURI GARHWAL, PAURI GARHWAL, UTTARAKHAND",0,0.0,16.55,16.55,Ignore
SATTENAPALLI REACH,0,0.0,16.53,16.53,Ignore
"SULTANGANJ1, SULTANGANJ, BIHAR",0,0.0,16.52,16.52,Ignore
NALAGARH,0,0.0,14.51,16.51,Ignore
MOTHERHUB_HUB DHARWAD,0,0.0,9.71,16.51,Ignore
CHIRAWA,0,0.0,16.5,16.5,Ignore
ELASTICRUNSEWRIODH_MUM MUMBAI,0,0.0,4.15,16.5,Ignore
VISHU STORE NEW DELHI,0,0.0,10.91,16.49,Ignore
"MLD/HUB, MALDA, WEST BENGAL",0,0.0,9.47,16.48,Ignore
TIRUVALLA,0,0.0,13.49,16.47,Ignore
"HYD/PC1, HYDERABAD, TELANGANA",0,0.0,5.28,16.47,Ignore
UTI SERVICE CENTER,0,0.0,9.15,16.47,Ignore
KALIYAGANJ,0,0.0,16.43,16.43,Ignore
MERTA,0,0.0,10.04,16.43,Ignore
RAWATBHATAMDH_KTU RAWATBHATA,0,0.0,16.42,16.42,Ignore
"NORTH GOA, GOA, IN",0,0.0,16.4,16.4,Ignore
PHAGWARA,0,0.0,8.97,16.4,Ignore
"KAILASHAHAR, AGARTALA, TRIPURA",0,0.0,14.8,16.4,Ignore
DEEPANSHI KIRANA NEW DELHI,0,0.0,7.68,16.39,Ignore
ELASTICRUNDHAPAMDH_KOL KOLKATA,0,0.0,10.42,16.38,Ignore
"LKO/CHK, LUCKNOW, UTTAR PRADESH",0,0.0,16.36,16.36,Ignore
JAGGI STORE NEW DELHI,0,0.0,16.36,16.36,Ignore
SONIPAT,0,0.0,8.85,16.35,Ignore
MAHARAJPUR,0,0.0,16.34,16.34,Ignore
ALLAHABAD - ALL,0,0.0,9.15,16.34,Ignore
MUZAFFARPUR HUB,0,0.0,9.33,16.32,Ignore
TENALI,0,0.0,16.32,16.32,Ignore
MULUGU,0,0.0,16.3,16.3,Ignore
SWATI KIRANA STORE FATEHPUR,0,0.0,16.3,16.3,Ignore
PIDUGURALLA REACH,0,0.0,12.25,16.29,Ignore
HOOGLY,0,0.0,13.86,16.28,Ignore
JAIPUR HUB,0,0.0,9.88,16.26,Ignore
BRAHMAVAR,0,0.0,5.95,16.25,Ignore
"GANGAJALGHATI, BANKURA, WEST BENGAL",0,0.0,16.24,16.24,Ignore
RAISINGHNAGAR,0,0.0,15.84,16.22,Ignore
BALESWAR,0,0.0,11.75,16.22,Ignore
SANKARAPURAM,0,0.0,13.24,16.21,Ignore
GANESH GENERAL STORE GURGAON,0,0.0,16.21,16.21,Ignore
KAVINDAPADI,0,0.0,14.24,16.18,Ignore
RIAR TAILOR NEW DELHI,0,0.0,16.18,16.18,Ignore
"GHARSANA, GHARSANA, RAJASTHAN",0,0.0,16.17,16.17,Ignore
LAHAR,0,0.0,16.15,16.15,Ignore
EAST DELHI,0,0.0,7.0,16.15,Ignore
TRIPUNITHURAHUB_TRT,0,0.0,9.48,16.14,Ignore
PAVAGADA,0,0.0,16.14,16.14,Ignore
"MANSA, MANSA, PUNJAB",0,0.0,16.12,16.12,Ignore
BELGAUM HUB,0,0.0,9.38,16.1,Ignore
PRINCE SHOP NEW DELHI,0,0.0,16.1,16.1,Ignore
VESUHUB_STV,0,0.0,1.44,16.07,Ignore
"TIPTUR, TIPTUR, KARNATAKA",0,0.0,14.22,16.07,Ignore
A TIWARI STORE VARANASI,0,0.0,16.04,16.04,Ignore
PETLAD,0,0.0,16.04,16.04,Ignore
"FIROZABAD1, FIROZABAD, UTTAR PRADESH",0,0.0,16.03,16.03,Ignore
"CHANNAGIRI, KARNATAKA, IN",0,0.0,15.36,16.0,Ignore
WHF APX/SFC PUD CENTRE,0,0.0,2.31,16.0,Ignore
"COIMBATORE, TAMILNADU, IN",0,0.0,6.88,16.0,Ignore
ETASHTEZPURODH_TZR TEZPUR,0,0.0,11.17,16.0,Ignore
"KOLKATA, WEST BENGAL, IN",0,0.0,10.82,15.98,Ignore
"ALIGARH, ALIGARH, UTTAR PRADESH",0,0.0,12.46,15.98,Ignore
"BACHELI, BACHELI, CHHATTISGARH",0,0.0,15.98,15.98,Ignore
MALADWESTHUB_MUM,0,0.0,9.88,15.97,Ignore
BADSHAHPUR HUB GURGAON,0,0.0,5.23,15.97,Ignore
PUDUCHERRY WAREHOUSE,0,0.0,15.97,15.97,Ignore
CHAMPASARIMDH_CHP,0,0.0,9.01,15.96,Ignore
"MYSORE, MYSORE, KARNATAKA",0,0.0,4.72,15.96,Ignore
SUPAUL,0,0.0,15.95,15.95,Ignore
MADHUBANI,0,0.0,15.94,15.94,Ignore
PALGHAR,0,0.0,8.79,15.94,Ignore
"KOPPAL1, KOPPAL, KARNATAKA",0,0.0,10.15,15.94,Ignore
PRABHAT ROAD HUB,0,0.0,1.47,15.92,Ignore
NAGARI,0,0.0,15.92,15.92,Ignore
"AMRITSAR, AMRITSAR, PUNJAB",0,0.0,9.94,15.91,Ignore
SONARPUR (SONP),0,0.0,15.91,15.91,Ignore
MOTHERHUB_BNL GURGAON,0,0.0,15.9,15.9,Ignore
HALIYAL,0,0.0,9.9,15.9,Ignore
CHINNAMANUR,0,0.0,13.24,15.89,Ignore
MANENDRAGARH,0,0.0,12.59,15.86,Ignore
CHIKALTHANA PUD,0,0.0,15.77,15.85,Ignore
"SHIVPURI, MADHYA PRADESH, IN",0,0.0,15.85,15.85,Ignore
SANAND,0,0.0,15.85,15.85,Ignore
HAZARIBAGH,0,0.0,9.38,15.85,Ignore
SIDDHPUR,0,0.0,14.01,15.85,Ignore
SIWANI,0,0.0,15.83,15.83,Ignore
DASH STORE NEW DELHI,0,0.0,15.83,15.83,Ignore
TUSHAR STORE RAJKOT,0,0.0,15.82,15.82,Ignore
MANESAR PINCODES,0,0.0,7.73,15.82,Ignore
VISAKHAPATNAM,0,0.0,9.52,15.81,Ignore
NAMCHI,0,0.0,15.78,15.8,Ignore
KAGAL,0,0.0,15.59,15.8,Ignore
"LUD/FPT, LUDHIANA, PUNJAB",0,0.0,8.96,15.79,Ignore
SAMEER NEW DELHI,0,0.0,15.44,15.79,Ignore
"JODH/PKM, JODHPUR, RAJASTHAN",0,0.0,11.11,15.77,Ignore
KALIKIRI,0,0.0,8.77,15.74,Ignore
MAHASAMUND,0,0.0,13.63,15.74,Ignore
"SIRSA, SIRSA, HARYANA",0,0.0,10.26,15.74,Ignore
"JASDAN, JASDAN, GUJARAT",0,0.0,15.74,15.74,Ignore
"VINUKONDA, ANDHRA PRADESH, IN",0,0.0,14.35,15.73,Ignore
BRITANIAHUB_DEL,0,0.0,0.22,15.71,Ignore
ADOOR,0,0.0,7.78,15.7,Ignore
SEVOOR,0,0.0,15.17,15.7,Ignore
NITIN MALI MUMBAI,0,0.0,15.7,15.7,Ignore
"VNS/LH1, VARANASI, UTTAR PRADESH",0,0.0,8.61,15.69,Ignore
"BARABANKI, BARABANKI, UTTAR PRADESH",0,0.0,15.68,15.68,Ignore
POCHAMPALLI,0,0.0,15.68,15.68,Ignore
BUDANPUR AMBEDKAR NAGAR,0,0.0,12.01,15.67,Ignore
"NELLORE, ANDHRA PRADESH, IN",0,0.0,12.71,15.67,Ignore
"CHAKRADHARPUR, CHAKRADHARPUR, JHARKHAND",0,0.0,15.63,15.63,Ignore
"SAPEKHATI, SAPEKHATI, ASSAM",0,0.0,15.63,15.63,Ignore
RATLAM,0,0.0,10.7,15.63,Ignore
"KOCHI, KERALA, IN",0,0.0,15.63,15.63,Ignore
"VUYYURU1, VUYYUR, ANDHRA PRADESH",0,0.0,15.63,15.63,Ignore
SAHARANPUR,0,0.0,12.57,15.61,Ignore
ATTABIRA,0,0.0,15.6,15.6,Ignore
KALIABOR,0,0.0,15.6,15.6,Ignore
ITPL HUB BENGALURU,0,0.0,3.74,15.59,Ignore
PICHATUR,0,0.0,15.59,15.59,Ignore
MUKTSAR,0,0.0,15.15,15.57,Ignore
"NAVNAGAR, NAVNAGAR, KARNATAKA",0,0.0,15.42,15.55,Ignore
METTUR,0,0.0,14.25,15.55,Ignore
DALTONGANJ,0,0.0,11.25,15.54,Ignore
JALALABAD,0,0.0,15.54,15.54,Ignore
INDORE SFC/APEX PUD,0,0.0,15.53,15.53,Ignore
BHIND,0,0.0,15.52,15.52,Ignore
VARAPUZHA,0,0.0,12.5,15.51,Ignore
"BAGODAR, BAGODAR, JHARKHAND",0,0.0,15.45,15.5,Ignore
BHAWAIGARH,0,0.0,15.15,15.49,Ignore
BENGALURU HUB,0,0.0,4.5,15.47,Ignore
DHARAPURAM,0,0.0,15.46,15.46,Ignore
"PCK/LUD, LUDHIANA, PUNJAB",0,0.0,7.84,15.45,Ignore
"LOHARDAGA, LOHARDAGA, JHARKHAND",0,0.0,15.44,15.44,Ignore
"LAHERIYASARAI, DARBHANGA, BIHAR",0,0.0,10.13,15.44,Ignore
VINAYAK ENTERPRISES HAMIRPUR,0,0.0,13.76,15.42,Ignore
NANGAL,0,0.0,14.69,15.42,Ignore
SRI GANGANAGAR,0,0.0,11.39,15.42,Ignore
TIRUPUR HUB,0,0.0,5.77,15.39,Ignore
"AGR/HUB, AGRA, UTTAR PRADESH",0,0.0,11.47,15.37,Ignore
"WARUD, WARUD, MAHARASHTRA",0,0.0,15.35,15.35,Ignore
PRINCYPALESADODH_PAL PETLAD,0,0.0,15.34,15.34,Ignore
HULIMAVUHUB_BLR BENGALURU,0,0.0,4.17,15.34,Ignore
VIRAR HUB,0,0.0,8.53,15.34,Ignore
SD KIRANA PATIALA,0,0.0,15.34,15.34,Ignore
"JAMNIPALI, JAMNIPALI, CHHATTISGARH",0,0.0,15.3,15.3,Ignore
ERATTUPETTA,0,0.0,12.56,15.29,Ignore
SHAHJAHANPUR,0,0.0,9.94,15.29,Ignore
PADAMPUR,0,0.0,15.29,15.29,Ignore
VIJAYAWADA HUB,0,0.0,9.1,15.28,Ignore
AKOTA HUB VADODARA,0,0.0,7.01,15.25,Ignore
"KARNAL, KARNAL, HARYANA",0,0.0,10.92,15.24,Ignore
PEENYA,0,0.0,3.54,15.24,Ignore
ELASTICRUNMAPUSAODH_GOA,0,0.0,15.22,15.22,Ignore
KALIMPONG,0,0.0,11.79,15.21,Ignore
ANKOLA,0,0.0,15.21,15.21,Ignore
MALAYINKEEZH,0,0.0,13.73,15.21,Ignore
ANUPGARH,0,0.0,15.2,15.2,Ignore
COCHIN TRANSPORT CENTRE COCHIN,0,0.0,5.84,15.17,Ignore
UMARKHED,0,0.0,15.17,15.17,Ignore
BHUBANESWAR W.HOUSE,0,0.0,3.37,15.15,Ignore
HIMAYAT NAGAR (HMNG),0,0.0,7.56,15.15,Ignore
"DEL/RTO, DELHI NCR, DELHI",0,0.0,7.13,15.14,Ignore
HARIHAR,0,0.0,13.2,15.14,Ignore
KAMAR STORE NEW DELHI,0,0.0,15.14,15.14,Ignore
ASHOK NAGAR,0,0.0,11.86,15.13,Ignore
JAKIR STORE NEW DELHI,0,0.0,12.31,15.12,Ignore
"PATHANKOT, PATHANKOT, PUNJAB",0,0.0,7.84,15.11,Ignore
ZIRAKPUR (ZKPR),0,0.0,9.22,15.1,Ignore
CABTJAGADHRIODH_JAG JAGADHRI,0,0.0,2.93,15.1,Ignore
"DEL/LH2, NEW DELHI, DELHI",0,0.0,9.67,15.09,Ignore
BANDARU PRANAVI MASTER KIRANA EAST GODAVARI,0,0.0,15.09,15.09,Ignore
LAXMINAGARHUB_DEL,0,0.0,0.5,15.07,Ignore
"GUDUR, GUDUR, ANDHRA PRADESH",0,0.0,15.07,15.07,Ignore
BUGUDA,0,0.0,10.17,15.05,Ignore
TIWARI STORE VARANASI,0,0.0,15.04,15.04,Ignore
"WARDHA, WARDHA, MAHARASHTRA",0,0.0,8.58,15.03,Ignore
KAWARDHA,0,0.0,14.63,15.03,Ignore
"DARBHANGA, DARBHANGA, BIHAR",0,0.0,12.4,15.03,Ignore
"DEL/GTN, DELHI NCR, DELHI",0,0.0,14.87,15.02,Ignore
SHIVPURI,0,0.0,5.02,14.99,Ignore
PALACODE,0,0.0,14.99,14.99,Ignore
COIMBATORE HUB,0,0.0,6.02,14.98,Ignore
GUNDERDEHI,0,0.0,14.96,14.96,Ignore
"SHIVAMOGGA, SHIVAMOGGA, KARNATAKA",0,0.0,10.61,14.95,Ignore
MOTHERHUB_VNI VARANASI,0,0.0,9.56,14.95,Ignore
"BATHINDA, BHATINDA, PUNJAB",0,0.0,14.93,14.93,Ignore
"RANIPET, RANIPET, TAMIL NADU",0,0.0,4.85,14.93,Ignore
"PCK/MDK, NEW DELHI, DELHI",0,0.0,11.23,14.91,Ignore
DINDIGUL,0,0.0,5.89,14.91,Ignore
"AMBERNATH, MAHARASHTRA, IN",0,0.0,14.9,14.9,Ignore
"CCU/PC1, KOLKATA, WEST BENGAL",0,0.0,5.47,14.89,Ignore
JAMBUSAR,0,0.0,14.89,14.89,Ignore
BARAUNI OFFICE,0,0.0,13.15,14.87,Ignore
"BALESAR, BALESAR, RAJASTHAN",0,0.0,14.87,14.87,Ignore
ANDHERI WEST S/C,0,0.0,7.61,14.87,Ignore
KUSHTAGI,0,0.0,14.87,14.87,Ignore
HOOGHLY,0,0.0,14.87,14.87,Ignore
KOTTIYAM,0,0.0,14.86,14.86,Ignore
JAI HOME TIRUPUR,0,0.0,14.86,14.86,Ignore
KATGI,0,0.0,14.86,14.86,Ignore
MELWIN STORE MADURAI,0,0.0,14.81,14.81,Ignore
"CCU/HUB, KOLKATA, WEST BENGAL",0,0.0,4.76,14.8,Ignore
KHEDBRAHMMA,0,0.0,14.8,14.8,Ignore
JAIPUR BAGRU,0,0.0,11.14,14.8,Ignore
"DGR/HUB, DURGAPUR, WEST BENGAL",0,0.0,7.84,14.8,Ignore
BEHERA STORE BARIPARA,0,0.0,14.8,14.8,Ignore
"PALAKKAD, PALAKKAD, KERALA",0,0.0,5.68,14.79,Ignore
"NLR/NTR, NELLORE, ANDHRA PRADESH",0,0.0,11.42,14.78,Ignore
MOHAN STORE NEW DELHI,0,0.0,14.76,14.76,Ignore
RAJGARH,0,0.0,14.76,14.76,Ignore
UJJAIN,0,0.0,8.69,14.75,Ignore
MINUMULA MANI WARANGAL,0,0.0,14.74,14.74,Ignore
"KARIMNAGAR, KARIMNAGAR, TELANGANA",0,0.0,6.02,14.74,Ignore
"TRICHY, TAMIL NADU, IN",0,0.0,14.74,14.74,Ignore
MOTHERHUB_COK ERNAKULAM,0,0.0,8.01,14.73,Ignore
KOTPUTLI,0,0.0,14.28,14.73,Ignore
"KHARAGPUR, KHARAGPUR, WEST BENGAL",0,0.0,14.7,14.7,Ignore
ISLAMPURWBHUB_IPR ISLAMPUR,0,0.0,14.7,14.7,Ignore
PINJORE,0,0.0,13.1,14.69,Ignore
MOHAMMED RIZWAN ANSARI NEW DELHI,0,0.0,12.98,14.68,Ignore
"SHAKTI NAGAR, SHAKTI NAGAR, UTTAR PRADESH",0,0.0,14.68,14.68,Ignore
JALGAON APEX/SFC PUD,0,0.0,14.67,14.67,Ignore
ERNAKULAM HUB ERNAKULAM,0,0.0,5.23,14.67,Ignore
"TRICHY/WEST-TML, TRICHY, TAMIL NADU",0,0.0,11.56,14.67,Ignore
SHAHNAWAZ NEW DELHI,0,0.0,13.22,14.67,Ignore
IBRAR AHMAD NEW DELHI,0,0.0,0.65,14.66,Ignore
MOLAKALMURU,0,0.0,14.66,14.66,Ignore
HUVINAHADAGALI,0,0.0,14.04,14.66,Ignore
"BLR/FC1, BANGALORE, KARNATAKA",0,0.0,4.11,14.64,Ignore
MOGA 1,0,0.0,14.62,14.62,Ignore
WARANGALHUB_WGL,0,0.0,14.62,14.62,Ignore
MORAN,0,0.0,14.58,14.58,Ignore
GONDAL,0,0.0,5.51,14.57,Ignore
DEBAGRAM,0,0.0,14.57,14.57,Ignore
BENNENAGARIHUB_DVG,0,0.0,14.57,14.57,Ignore
"JORHAT, JORHAT, ASSAM",0,0.0,10.69,14.54,Ignore
FKL_FARUKNGR,0,0.0,0.0,14.52,Ignore
HIRYUR,0,0.0,14.51,14.51,Ignore
MADURAI HUB,0,0.0,5.27,14.51,Ignore
"HAVERI, KARNATAKA, IN",0,0.0,14.49,14.49,Ignore
JEEDIMETLA PUD CENTRE,0,0.0,3.27,14.47,Ignore
BURARIHUB_DEL DELHI,0,0.0,7.32,14.46,Ignore
NILAMBURE,0,0.0,14.11,14.46,Ignore
"HOSUR, TAMIL NADU, IN",0,0.0,12.33,14.46,Ignore
KHAMGAON,0,0.0,12.22,14.46,Ignore
"KANPUR, KANPUR, UTTAR PRADESH",0,0.0,7.1,14.44,Ignore
MURBAD,0,0.0,13.3,14.44,Ignore
ULHAS NAGAR,0,0.0,7.35,14.44,Ignore
DOMBIVLI HUB,0,0.0,10.01,14.42,Ignore
KAIKALUR,0,0.0,14.41,14.41,Ignore
GANGTOK,0,0.0,8.04,14.41,Ignore
"GANGTOK, SIKKIM, IN",0,0.0,14.41,14.41,Ignore
RR DISTRICT,0,0.0,9.1,14.4,Ignore
MALAPPURAM,0,0.0,9.69,14.38,Ignore
LEHRAGAGA,0,0.0,13.33,14.37,Ignore
MARAKANAM - MRM,0,0.0,14.35,14.35,Ignore
KUCHAMANCITY S.O,0,0.0,11.8,14.35,Ignore
SINGH STATIONERY NEW DELHI,0,0.0,14.34,14.34,Ignore
GOPINATH BAZAR HUB,0,0.0,5.13,14.33,Ignore
BENGALURU SFC W/F,0,0.0,8.13,14.33,Ignore
GANGAVATHI,0,0.0,12.25,14.33,Ignore
"NANDED, MAHARASHTRA, IN",0,0.0,14.28,14.32,Ignore
VILUPPURAMHUB_VPM VILLUPURAM,0,0.0,10.19,14.32,Ignore
KAKROLAHUB_DEL,0,0.0,13.21,14.32,Ignore
CANACONA,0,0.0,14.3,14.3,Ignore
"KOPPAL, KARANATAKA, IN",0,0.0,14.29,14.3,Ignore
"ANAKAPALLE, ANAKAPALLE, ANDHRA PRADESH",0,0.0,14.29,14.29,Ignore
"MEERUT, MEERUT, UTTAR PRADESH",0,0.0,8.99,14.29,Ignore
SARAIPALLI,0,0.0,14.29,14.29,Ignore
"MUDHOL, MUDHOL, KARNATAKA",0,0.0,14.29,14.29,Ignore
"GADAG1, GADAG, KARNATAKA",0,0.0,9.56,14.26,Ignore
BELGAUM,0,0.0,8.36,14.25,Ignore
MERTA CITY,0,0.0,7.94,14.25,Ignore
AGNOOR,0,0.0,14.24,14.24,Ignore
MUMBAI ETAIL WAREHOU,0,0.0,2.73,14.23,Ignore
"BLR/MCL-TML, BANGALORE, KARNATAKA",0,0.0,13.94,14.23,Ignore
PERINTHALMANNA,0,0.0,13.43,14.22,Ignore
"AMD/HUB, AHMEDABAD, GUJARAT",0,0.0,6.18,14.19,Ignore
EAST CHAMPARAN,0,0.0,8.52,14.18,Ignore
MAHAIPALPUR HUB,0,0.0,6.97,14.17,Ignore
SARNATH,0,0.0,4.95,14.17,Ignore
BEED OUTER,0,0.0,14.17,14.17,Ignore
SARNATHHUB_VNS VARANASI,0,0.0,9.48,14.16,Ignore
"KORIYA, CHHATTISGARH, IN",0,0.0,14.15,14.15,Ignore
"BHANGAR, BHANGAR, WEST BENGAL",0,0.0,14.14,14.14,Ignore
BHUBANESHWAR,0,0.0,9.27,14.14,Ignore
MAHMOOD STORE NEW DELHI,0,0.0,13.15,14.13,Ignore
"CCU/PCK, KOLKATA, WEST BENGAL",0,0.0,7.34,14.11,Ignore
NEW DELHI,0,0.0,5.53,14.11,Ignore
JALANDHAR HUB,0,0.0,0.2,14.09,Ignore
BEAWAR,0,0.0,13.83,14.08,Ignore
"JMU/UNJ, JAMMU, JAMMU AND KASHMIR",0,0.0,8.41,14.08,Ignore
JHULANA,0,0.0,14.07,14.07,Ignore
"RAJGANGPUR, RAJGANGPUR, ORISSA",0,0.0,14.06,14.06,Ignore
"NAINI1, NAINI, UTTAR PRADESH",0,0.0,14.04,14.04,Ignore
"SARAIPALI, BASNA, CHHATTISGARH",0,0.0,13.41,14.04,Ignore
MOHAMMAD RAESS NEW DELHI,0,0.0,14.04,14.04,Ignore
SHAHGANJ,0,0.0,14.03,14.03,Ignore
VIRAR,0,0.0,8.86,14.02,Ignore
KUNDLI AIR HUB,0,0.0,9.1,14.02,Ignore
MURARAI,0,0.0,14.01,14.01,Ignore
VANDANABAGGATELECOM.MK LUDHIANA,0,0.0,5.67,14.0,Ignore
KOLARHUB_BHO MADHYA PRADESH,0,0.0,7.39,13.99,Ignore
SALEM MINI HUB,0,0.0,3.72,13.98,Ignore
"DEL/SANGAMVIHAR, NEW DELHI, DELHI",0,0.0,11.14,13.97,Ignore
PORVORIM,0,0.0,7.31,13.97,Ignore
HISSAR,0,0.0,8.17,13.96,Ignore
"TIRUPATHI, TIRUPATI, ANDHRA PRADESH",0,0.0,13.95,13.95,Ignore
PALLIPALAYAM HUB ERODE,0,0.0,9.1,13.94,Ignore
BUTIBORI,0,0.0,13.94,13.94,Ignore
FKL_LUDFLEX,0,0.0,13.48,13.94,Ignore
RAM MAGAN TRIPATHI GURGAON,0,0.0,13.94,13.94,Ignore
MANTA,0,0.0,13.92,13.92,Ignore
"BHINMAL, BHINMAL, RAJASTHAN",0,0.0,13.9,13.9,Ignore
BHUBANESWAR - BBN,0,0.0,8.35,13.9,Ignore
KHARIAR,0,0.0,8.53,13.88,Ignore
AKOTA HUB,0,0.0,2.87,13.88,Ignore
"PDY/SA-WTT, PONDICHERRY, TAMIL NADU",0,0.0,13.86,13.87,Ignore
MATHABHANGA,0,0.0,11.35,13.86,Ignore
ANUJ GENERAL STORE LUCKNOW,0,0.0,13.86,13.86,Ignore
GOBINDGARH,0,0.0,8.52,13.85,Ignore
BHADRACHALAM,0,0.0,10.64,13.85,Ignore
PURBALOK,0,0.0,4.22,13.83,Ignore
JAI MATA DI COMMUNICATION NEW DELHI,0,0.0,13.48,13.83,Ignore
SATHYAMANGALAM,0,0.0,13.82,13.82,Ignore
"HUMNABAD, HUMNABAD, KARNATAKA",0,0.0,13.81,13.81,Ignore
BHUBANESWAR HUB (BBIW),0,0.0,4.29,13.81,Ignore
"NANDED, NANDED, MAHARASHTRA",0,0.0,8.98,13.8,Ignore
RAIPUR CG - RIP,0,0.0,8.83,13.79,Ignore
SOLANHUB_SLN SOLAN,0,0.0,6.25,13.79,Ignore
"BAGALKOT1, BAGALKOT, KARNATAKA",0,0.0,10.76,13.78,Ignore
"KANNAUJ1, KANNAUJ, UTTAR PRADESH",0,0.0,13.76,13.76,Ignore
TOHANA,0,0.0,9.9,13.76,Ignore
PRAKASAM,0,0.0,13.76,13.76,Ignore
RAJKOTVAVADIHUB_VAV RAJKOT,0,0.0,5.2,13.75,Ignore
ANIL KUMAR SULTANPUR,0,0.0,13.74,13.74,Ignore
"BABATPUR, BABATPUR, UTTAR PRADESH",0,0.0,13.74,13.74,Ignore
"DHANDUKA, DHANDUKA, GUJARAT",0,0.0,13.73,13.73,Ignore
"RTO/BRY, BANGALORE, KARNATAKA",0,0.0,6.17,13.72,Ignore
"GKP/LH1, GORAKHPUR, UTTAR PRADESH",0,0.0,6.71,13.71,Ignore
CHANNAGIRI,0,0.0,6.53,13.7,Ignore
GUSKHARA,0,0.0,13.7,13.7,Ignore
ELASTICRUNBADLAPURODH_BDP THANE,0,0.0,8.81,13.69,Ignore
INDORE - IND,0,0.0,11.91,13.68,Ignore
GAYA HUB GAYA,0,0.0,13.67,13.67,Ignore
KR NAGARA,0,0.0,13.66,13.66,Ignore
"CUDDAPAH, CUDDAPAH, ANDHRA PRADESH",0,0.0,11.06,13.66,Ignore
JHUNJHUNU,0,0.0,13.59,13.6,Ignore
CHODAVARAM,0,0.0,11.03,13.59,Ignore
CALICUT,0,0.0,2.61,13.57,Ignore
BIJAPUR,0,0.0,13.57,13.57,Ignore
"NANDYAL, NANDYAL, ANDHRA PRADESH",0,0.0,5.29,13.57,Ignore
KHEDA,0,0.0,13.57,13.57,Ignore
"GOPALGANJ, GOPALGANJ, BIHAR",0,0.0,11.35,13.56,Ignore
VESUHUB_STV SURAT,0,0.0,6.24,13.54,Ignore
MOTHERHUB_YKB YAKUBPUR,0,0.0,7.91,13.53,Ignore
SADULPUR S.O,0,0.0,10.11,13.53,Ignore
MALBAZAR,0,0.0,6.3,13.53,Ignore
"MOHAMMADABAD, MOHAMMADABAD, UTTAR PRADESH",0,0.0,9.85,13.52,Ignore
BINA,0,0.0,13.51,13.51,Ignore
KOCHIN MINI HUB,0,0.0,5.97,13.48,Ignore
A.J STORE NEW DELHI,0,0.0,11.27,13.48,Ignore
CHANDHANAPPALLI,0,0.0,12.38,13.48,Ignore
"MAHABUBNAGAR, MAHABUBNAGAR, TELANGANA",0,0.0,8.23,13.47,Ignore
MAUGANJ,0,0.0,13.46,13.46,Ignore
HOSHIARPUR HUB HOSHIARPUR,0,0.0,9.94,13.45,Ignore
ELASTICRUNKOTTAKALODH_KOT KOTTAKKAL,0,0.0,11.46,13.45,Ignore
PINKI PANCHAL TEA STALL PANIPAT,0,0.0,13.45,13.45,Ignore
PALAKOLLU,0,0.0,10.68,13.44,Ignore
KRISHNA,0,0.0,8.54,13.43,Ignore
KATTAPPANA,0,0.0,13.42,13.42,Ignore
VIJAYAMANGALAMHUB_VJM VIJAYAMANGALAM,0,0.0,11.94,13.41,Ignore
POOJAPURA,0,0.0,10.32,13.4,Ignore
BAIHATA,0,0.0,13.4,13.4,Ignore
TADIPATRI,0,0.0,9.63,13.39,Ignore
HALOL,0,0.0,8.33,13.38,Ignore
SAHA STORE SHYAMNAGAR,0,0.0,13.37,13.37,Ignore
GWALIOR - GWL,0,0.0,13.37,13.37,Ignore
BHADRAK,0,0.0,8.88,13.37,Ignore
"CCU/IB1, KOLKATA, WEST BENGAL",0,0.0,6.66,13.36,Ignore
KARUVATTA,0,0.0,13.33,13.33,Ignore
BHAVNAGAR,0,0.0,8.51,13.32,Ignore
"TOTU, SHIMLA, HIMACHAL PRADESH",0,0.0,7.68,13.29,Ignore
SANVORDEM,0,0.0,10.84,13.28,Ignore
"UPH, LUCKNOW, UTTAR PRADESH",0,0.0,5.35,13.27,Ignore
"BODHAN1, BODHAN, TELANGANA",0,0.0,13.26,13.26,Ignore
NARKHED,0,0.0,11.43,13.26,Ignore
PANCHAVATIHUB_NSK NASHIK,0,0.0,8.05,13.25,Ignore
LARGELOGICTHOVALAIODH_THV,0,0.0,7.52,13.23,Ignore
"NGP/HUB, NAGPUR, MAHARASHTRA",0,0.0,3.58,13.22,Ignore
"KANDHUKUR, KANDUKUR, ANDHRA PRADESH",0,0.0,13.22,13.22,Ignore
KATARGAAMHUB_STV SURAT,0,0.0,5.46,13.22,Ignore
KOTTAYAM,0,0.0,6.72,13.22,Ignore
HUNSUR,0,0.0,13.21,13.21,Ignore
MAHADHUB_MHD MAHAD,0,0.0,9.61,13.21,Ignore
BORIVILIHUB_MUM,0,0.0,2.03,13.2,Ignore
SAKINAKASPLITHUB_MUM MUMBAI,0,0.0,10.03,13.2,Ignore
KALYAN,0,0.0,13.18,13.18,Ignore
GANGANI,0,0.0,13.14,13.14,Ignore
KHARAGPUR,0,0.0,8.21,13.13,Ignore
CHHATARPURHUB_DEL,0,0.0,7.43,13.11,Ignore
PURI,0,0.0,4.46,13.1,Ignore
"DAKSHINA KANNADA, KARNATAKA, IN",0,0.0,13.09,13.09,Ignore
MOURYA HERBAL NEW DELHI,0,0.0,13.07,13.09,Ignore
CIVILLINESHUB_DEL,0,0.0,3.8,13.06,Ignore
KHALILABAD,0,0.0,10.59,13.03,Ignore
